element_image_date,element_image_cpu_utilization,element_image_total_power,element_image_cpu_power,element_image_gpu_power
2023-10-23 23:44:02,0.00924,46.12891,4.12891,42.00000
2023-10-23 23:44:03,0.01944,46.03531,4.19531,41.84000
2023-10-23 23:44:04,0.01421,45.81133,4.11133,41.70000
2023-10-23 23:44:05,0.01352,47.07969,4.17969,42.90000
2023-10-23 23:44:06,0.07373,46.54140,4.69141,41.85000
2023-10-23 23:44:07,0.01184,45.85820,4.15820,41.70000
2023-10-23 23:44:08,0.09298,46.54562,4.51563,42.03000
2023-10-23 23:44:09,0.04307,46.19531,4.19531,42.00000
2023-10-23 23:44:10,0.05818,46.04313,4.20313,41.84000
2023-10-23 23:44:11,0.01090,46.20336,4.19336,42.01000
2023-10-23 23:44:12,0.00837,45.96328,4.11328,41.85000
2023-10-23 23:44:13,0.00669,46.09984,4.08984,42.01000
2023-10-23 23:44:14,0.10185,46.84250,5.06250,41.78000
2023-10-23 23:44:15,0.01421,46.07851,4.22852,41.85000
2023-10-23 23:44:16,0.09289,47.12188,5.17188,41.95000
2023-10-23 23:44:17,0.06365,47.38578,4.67578,42.71000
2023-10-23 23:44:18,0.07830,46.86953,5.01953,41.85000
2023-10-23 23:44:19,0.13632,47.54633,4.73633,42.81000
2023-10-23 23:44:20,0.01706,46.14844,4.14844,42.00000
2023-10-23 23:44:21,0.01308,46.03945,4.18945,41.85000
2023-10-23 23:44:22,0.04891,46.62500,4.62500,42.00000
2023-10-23 23:44:23,0.01262,39.08914,3.86914,35.22000
2023-10-23 23:44:24,0.01926,38.80047,3.73047,35.07000
2023-10-23 23:44:25,0.04034,32.30914,3.86914,28.44000
2023-10-23 23:44:34,0.00334,46.45063,4.14063,42.31000
2023-10-23 23:44:35,0.02012,40.40273,4.05273,36.35000
2023-10-23 23:44:36,0.00759,39.88140,3.69141,36.19000
2023-10-23 23:44:37,0.14405,42.31516,5.28516,37.03000
2023-10-23 23:44:38,0.19267,41.88344,5.77344,36.11000
2023-10-23 23:44:39,0.04359,38.88031,3.82031,35.06000
2023-10-23 23:44:40,0.00927,32.61766,3.59766,29.02000
2023-10-23 23:44:41,0.06544,32.22906,3.78906,28.44000
2023-10-23 23:44:42,0.00729,31.40281,3.13281,28.27000
2023-10-23 23:44:43,0.07193,21.68383,2.92383,18.76000
2023-10-23 23:44:44,0.04184,20.52438,2.23438,18.29000
2023-10-23 23:44:45,0.06155,18.81750,2.43750,16.38000
2023-10-23 23:44:46,0.01689,15.19984,2.08984,13.11000
2023-10-23 23:44:47,0.01005,15.54523,2.11523,13.43000
2023-10-23 23:44:48,0.01004,15.39672,2.13672,13.26000
2023-10-23 23:44:49,0.08728,14.96820,2.65820,12.31000
2023-10-23 23:44:50,0.00783,14.31000,2.00000,12.31000
2023-10-23 23:44:51,0.09921,15.89305,3.12305,12.77000
2023-10-23 23:44:52,0.04810,17.47414,2.49414,14.98000
2023-10-23 23:44:53,0.06097,42.57383,4.67383,37.90000
2023-10-23 23:44:54,0.13985,43.56133,4.86133,38.70000
2023-10-23 23:44:55,0.01528,41.89961,3.84961,38.05000
2023-10-23 23:44:56,0.01389,41.98969,3.92969,38.06000
2023-10-23 23:44:57,0.01005,42.16938,3.85938,38.31000
2023-10-23 23:44:58,0.05657,42.36891,4.12891,38.24000
2023-10-23 23:44:59,0.03086,42.39953,4.01953,38.38000
2023-10-23 23:45:00,0.01590,42.25500,3.87500,38.38000
2023-10-23 23:45:09,0.00334,46.56766,4.09766,42.47000
2023-10-23 23:45:10,0.05868,47.59023,4.74023,42.85000
2023-10-23 23:45:11,0.19257,49.49797,6.16797,43.33000
2023-10-23 23:45:12,0.13253,47.04383,5.17383,41.87000
2023-10-23 23:45:13,0.02881,46.20383,4.17383,42.03000
2023-10-23 23:45:14,0.00846,45.98086,4.13086,41.85000
2023-10-23 23:45:15,0.02209,46.76164,4.18164,42.58000
2023-10-23 23:45:16,0.06546,46.61172,4.76172,41.85000
2023-10-23 23:45:17,0.00839,46.77594,4.08594,42.69000
2023-10-23 23:45:18,0.05042,46.11172,4.26172,41.85000
2023-10-23 23:45:19,0.02259,46.14406,4.16406,41.98000
2023-10-23 23:45:20,0.04849,45.93828,4.23828,41.70000
2023-10-23 23:45:21,0.01763,46.15062,4.14063,42.01000
2023-10-23 23:45:22,0.00920,45.79328,4.11328,41.68000
2023-10-23 23:45:23,0.00753,45.93570,4.09570,41.84000
2023-10-23 23:45:24,0.07538,46.63695,4.62695,42.01000
2023-10-23 23:45:25,0.00839,45.96766,4.09766,41.87000
2023-10-23 23:45:26,0.09783,47.20000,5.25000,41.95000
2023-10-23 23:45:27,0.05143,47.63469,4.55469,43.08000
2023-10-23 23:45:28,0.09014,46.96312,4.95313,42.01000
2023-10-23 23:45:29,0.01589,46.92164,4.18164,42.74000
2023-10-23 23:45:30,0.12563,48.68336,4.94336,43.74000
2023-10-23 23:45:32,0.13596,47.86203,4.58203,43.28000
2023-10-23 23:45:33,0.13732,48.62312,4.70313,43.92000
2023-10-23 23:45:34,0.03020,39.18500,4.12500,35.06000
2023-10-23 23:45:35,0.01928,38.94242,3.73242,35.21000
2023-10-23 23:45:36,0.01343,39.01891,3.62891,35.39000
2023-10-23 23:45:37,0.05978,32.13141,3.69141,28.44000
2023-10-23 23:45:38,0.01089,31.53961,3.09961,28.44000
2023-10-23 23:45:39,0.00927,31.51375,3.09375,28.42000
2023-10-23 23:45:40,0.01254,18.67687,2.29688,16.38000
2023-10-23 23:45:44,0.07216,46.73281,4.88281,41.85000
2023-10-23 23:45:45,0.01510,39.64297,3.79297,35.85000
2023-10-23 23:45:46,0.01855,39.37922,3.69922,35.68000
2023-10-23 23:45:47,0.01349,38.87062,3.64063,35.23000
2023-10-23 23:45:48,0.02108,38.75945,3.68945,35.07000
2023-10-23 23:45:49,0.01106,38.70649,3.64648,35.06000
2023-10-23 23:45:50,0.01356,32.51594,3.33594,29.18000
2023-10-23 23:45:51,0.05518,32.13742,3.85742,28.28000
2023-10-23 23:45:52,0.00923,19.10297,3.04297,16.06000
2023-10-23 23:45:53,0.07342,21.41609,2.49609,18.92000
2023-10-23 23:45:55,0.03526,20.22953,2.26953,17.96000
2023-10-23 23:45:56,0.07492,15.12813,2.32813,12.80000
2023-10-23 23:45:57,0.01855,15.23305,2.12305,13.11000
2023-10-23 23:45:58,0.00755,14.84273,2.05273,12.79000
2023-10-23 23:45:59,0.01333,15.69719,2.11719,13.58000
2023-10-23 23:46:00,0.13473,15.50680,3.21680,12.29000
2023-10-23 23:46:01,0.01756,15.61141,2.19141,13.42000
2023-10-23 23:46:02,0.09459,15.61992,3.16992,12.45000
2023-10-23 23:46:03,0.08622,45.70297,3.29297,42.41000
2023-10-23 23:46:04,0.04762,45.95359,4.43359,41.52000
2023-10-23 23:46:05,0.09370,47.92461,4.97461,42.95000
2023-10-23 23:46:06,0.06879,46.12969,4.42969,41.70000
2023-10-23 23:46:07,0.00679,45.81328,4.11328,41.70000
2023-10-23 23:46:08,0.01506,45.84453,4.14453,41.70000
2023-10-23 23:46:09,0.01175,45.63594,4.08594,41.55000
2023-10-23 23:46:10,0.02027,46.03750,4.18750,41.85000
2023-10-23 23:46:11,0.00844,45.96695,4.12695,41.84000
2023-10-23 23:46:20,0.13190,48.40711,5.28711,43.12000
2023-10-23 23:46:21,0.11775,47.70203,4.58203,43.12000
2023-10-23 23:46:22,0.12352,47.94016,4.66016,43.28000
2023-10-23 23:46:23,0.10408,47.58195,4.50195,43.08000
2023-10-23 23:46:24,0.11561,47.68617,4.57617,43.11000
2023-10-23 23:46:25,0.06441,46.38711,4.53711,41.85000
2023-10-23 23:46:26,0.02357,47.03367,4.26367,42.77000
2023-10-23 23:46:27,0.06403,46.51601,4.66602,41.85000
2023-10-23 23:46:28,0.01763,46.32117,4.20117,42.12000
2023-10-23 23:46:29,0.05514,46.12344,4.27344,41.85000
2023-10-23 23:46:30,0.03183,46.26172,4.26172,42.00000
2023-10-23 23:46:31,0.05281,46.41586,4.25586,42.16000
2023-10-23 23:46:32,0.00672,46.20117,4.20117,42.00000
2023-10-23 23:46:33,0.00837,46.12891,4.12891,42.00000
2023-10-23 23:46:34,0.00835,45.94375,4.09375,41.85000
2023-10-23 23:46:35,0.11195,47.18516,5.28516,41.90000
2023-10-23 23:46:36,0.00838,46.04187,4.17188,41.87000
2023-10-23 23:46:37,0.09540,47.20391,5.25391,41.95000
2023-10-23 23:46:38,0.08024,47.61883,5.04883,42.57000
2023-10-23 23:46:39,0.07640,47.67414,4.74414,42.93000
2023-10-23 23:46:40,0.12587,46.90125,5.03125,41.87000
2023-10-23 23:46:41,0.02836,46.08484,4.21484,41.87000
2023-10-23 23:46:42,0.01261,46.33406,4.16406,42.17000
2023-10-23 23:46:43,0.00801,45.99258,4.14258,41.85000
2023-10-23 23:46:44,0.00845,38.79633,3.73633,35.06000
2023-10-23 23:46:45,0.02097,38.91750,3.68750,35.23000
2023-10-23 23:46:46,0.00842,31.98492,3.54492,28.44000
2023-10-23 23:46:55,0.13428,48.29164,5.18164,43.11000
2023-10-23 23:46:56,0.15426,42.22094,4.96094,37.26000
2023-10-23 23:46:57,0.15803,42.00938,5.35938,36.65000
2023-10-23 23:46:58,0.02045,39.13195,3.75195,35.38000
2023-10-23 23:46:59,0.02344,38.78266,3.72266,35.06000
2023-10-23 23:47:00,0.01936,38.70258,3.64258,35.06000
2023-10-23 23:47:01,0.01408,32.73445,3.56445,29.17000
2023-10-23 23:47:02,0.06597,32.22102,3.79102,28.43000
2023-10-23 23:47:03,0.01438,32.49797,3.16797,29.33000
2023-10-23 23:47:04,0.07221,20.65945,2.68945,17.97000
2023-10-23 23:47:05,0.02944,20.79531,2.19531,18.60000
2023-10-23 23:47:06,0.05808,16.88891,2.37891,14.51000
2023-10-23 23:47:07,0.01866,14.36078,2.05078,12.31000
2023-10-23 23:47:08,0.01259,14.81148,2.02148,12.79000
2023-10-23 23:47:09,0.00919,14.86227,2.07227,12.79000
2023-10-23 23:47:10,0.11714,15.43625,3.15625,12.28000
2023-10-23 23:47:11,0.01444,14.39594,2.08594,12.31000
2023-10-23 23:47:12,0.11720,16.18391,3.25391,12.93000
2023-10-23 23:47:13,0.04814,18.31000,2.50000,15.81000
2023-10-23 23:47:14,0.06083,42.92086,4.38086,38.54000
2023-10-23 23:47:15,0.03125,43.10938,4.10938,39.00000
2023-10-23 23:47:16,0.11626,43.35625,4.65625,38.70000
2023-10-23 23:47:17,0.01667,42.55500,3.87500,38.68000
2023-10-23 23:47:18,0.00758,42.47945,3.93945,38.54000
2023-10-23 23:47:20,0.02003,42.49336,3.94336,38.55000
2023-10-23 23:47:21,0.02269,42.80727,3.94727,38.86000
2023-10-23 23:47:22,0.00587,42.65305,3.87305,38.78000
2023-10-23 23:47:30,0.10684,48.24680,4.96680,43.28000
2023-10-23 23:47:31,0.11735,47.82297,4.54297,43.28000
2023-10-23 23:47:32,0.11121,47.71242,4.48242,43.23000
2023-10-23 23:47:33,0.08010,46.64672,4.63672,42.01000
2023-10-23 23:47:34,0.01934,46.23828,4.23828,42.00000
2023-10-23 23:47:35,0.01685,46.16016,4.16016,42.00000
2023-10-23 23:47:36,0.01347,47.14758,4.26758,42.88000
2023-10-23 23:47:37,0.05616,46.66055,4.81055,41.85000
2023-10-23 23:47:38,0.02008,46.61187,4.17188,42.44000
2023-10-23 23:47:39,0.06339,46.11609,4.24609,41.87000
2023-10-23 23:47:40,0.04017,46.05289,4.21289,41.84000
2023-10-23 23:47:41,0.05774,46.20828,4.23828,41.97000
2023-10-23 23:47:43,0.01174,46.20531,4.19531,42.01000
2023-10-23 23:47:44,0.00838,45.98086,4.13086,41.85000
2023-10-23 23:47:45,0.00252,45.91766,4.09766,41.82000
2023-10-23 23:47:46,0.11503,47.02984,5.08984,41.94000
2023-10-23 23:47:47,0.01008,46.38266,4.22266,42.16000
2023-10-23 23:47:48,0.10518,47.08102,5.29102,41.79000
2023-10-23 23:47:49,0.06605,47.43328,4.86328,42.57000
2023-10-23 23:47:50,0.04655,46.76367,4.76367,42.00000
2023-10-23 23:47:51,0.15749,47.36406,5.16406,42.20000
2023-10-23 23:47:52,0.02103,46.16039,4.15039,42.01000
2023-10-23 23:47:53,0.01503,46.11914,4.11914,42.00000
2023-10-23 23:47:54,0.01264,46.35750,4.18750,42.17000
2023-10-23 23:47:55,0.00756,39.22609,3.99609,35.23000
2023-10-23 23:47:56,0.01679,38.96024,3.74023,35.22000
2023-10-23 23:47:57,0.00673,38.84086,3.63086,35.21000
2023-10-23 23:48:06,0.12595,42.02664,5.05664,36.97000
2023-10-23 23:48:07,0.11719,40.65820,4.15820,36.50000
2023-10-23 23:48:08,0.10820,40.86180,4.09180,36.77000
2023-10-23 23:48:09,0.08945,39.54813,4.32813,35.22000
2023-10-23 23:48:10,0.01681,38.96586,3.75586,35.21000
2023-10-23 23:48:11,0.01182,38.90945,3.68945,35.22000
2023-10-23 23:48:12,0.01847,32.91953,3.26953,29.65000
2023-10-23 23:48:13,0.05695,32.15852,3.72852,28.43000
2023-10-23 23:48:14,0.01760,22.88477,2.88477,20.00000
2023-10-23 23:48:15,0.07155,18.70070,2.47070,16.23000
2023-10-23 23:48:16,0.03660,20.54016,2.41016,18.13000
2023-10-23 23:48:17,0.07550,16.84859,2.30859,14.54000
2023-10-23 23:48:18,0.01765,14.54031,2.07031,12.47000
2023-10-23 23:48:19,0.00672,14.69641,2.06641,12.63000
2023-10-23 23:48:20,0.00419,16.63547,2.10547,14.53000
2023-10-23 23:48:21,0.12322,45.57703,3.95703,41.62000
2023-10-23 23:48:22,0.01261,45.95805,4.24805,41.71000
2023-10-23 23:48:23,0.10168,46.91906,5.28906,41.63000
2023-10-23 23:48:24,0.02349,47.06594,4.33594,42.73000
2023-10-23 23:48:25,0.07544,46.92461,5.22461,41.70000
2023-10-23 23:48:26,0.12735,48.81469,5.05469,43.76000
2023-10-23 23:48:27,0.04032,45.81344,4.27344,41.54000
2023-10-23 23:48:28,0.01511,46.92477,4.13477,42.79000
2023-10-23 23:48:29,0.01276,45.99062,4.14063,41.85000
2023-10-23 23:48:30,0.01641,45.89922,4.19922,41.70000
2023-10-23 23:48:31,0.02128,46.23633,4.23633,42.00000
2023-10-23 23:48:32,0.00952,46.02945,4.18945,41.84000
2023-10-23 23:48:41,0.11706,48.69688,4.79688,43.90000
2023-10-23 23:48:42,0.13603,47.67078,4.80078,42.87000
2023-10-23 23:48:43,0.15009,48.25640,5.06641,43.19000
2023-10-23 23:48:44,0.14223,48.00172,5.76172,42.24000
2023-10-23 23:48:45,0.07809,46.51390,4.50391,42.01000
2023-10-23 23:48:46,0.01345,46.17211,4.16211,42.01000
2023-10-23 23:48:47,0.01771,47.18305,4.12305,43.06000
2023-10-23 23:48:48,0.05668,46.55117,4.70117,41.85000
2023-10-23 23:48:49,0.01591,46.36914,4.11914,42.25000
2023-10-23 23:48:50,0.05551,46.19765,4.34766,41.85000
2023-10-23 23:48:51,0.02437,46.24609,4.24609,42.00000
2023-10-23 23:48:52,0.06119,46.00484,4.21484,41.79000
2023-10-23 23:48:53,0.00673,46.29086,4.13086,42.16000
2023-10-23 23:48:54,0.00923,46.19164,4.18164,42.01000
2023-10-23 23:48:55,0.00838,45.92984,4.08984,41.84000
2023-10-23 23:48:56,0.09612,47.17008,5.08008,42.09000
2023-10-23 23:48:57,0.01595,46.29492,4.29492,42.00000
2023-10-23 23:48:58,0.10192,47.17703,5.20703,41.97000
2023-10-23 23:48:59,0.06902,47.51477,4.63477,42.88000
2023-10-23 23:49:00,0.09506,47.12500,5.12500,42.00000
2023-10-23 23:49:01,0.08719,48.31031,4.57031,43.74000
2023-10-23 23:49:02,0.12060,47.23836,5.06836,42.17000
2023-10-23 23:49:03,0.01547,46.00430,4.15430,41.85000
2023-10-23 23:49:04,0.01273,46.16430,4.15430,42.01000
2023-10-23 23:49:05,0.02339,46.25609,4.24609,42.01000
2023-10-23 23:49:06,0.02429,38.97391,3.75391,35.22000
2023-10-23 23:49:07,0.00838,38.84109,3.62109,35.22000
2023-10-23 23:49:16,0.13215,48.35953,5.01953,43.34000
2023-10-23 23:49:17,0.13873,41.76062,4.64063,37.12000
2023-10-23 23:49:18,0.18790,42.15414,4.99414,37.16000
2023-10-23 23:49:19,0.16580,40.70227,5.32227,35.38000
2023-10-23 23:49:20,0.07167,39.09781,4.00781,35.09000
2023-10-23 23:49:21,0.01460,38.76336,3.69336,35.07000
2023-10-23 23:49:22,0.01847,32.51852,3.47852,29.04000
2023-10-23 23:49:23,0.07658,32.18219,3.74219,28.44000
2023-10-23 23:49:24,0.01506,32.73891,3.12891,29.61000
